field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
303,63.76817426,-98.85653652,122,19.9,499.53,North America
308,63.5041184,-106.8140263,356,11.3,110.75,North America
311,63.60672955,-108.7553612,388,11.6,162.29,North America
320,63.08620426,-118.3840672,260,4.4,180.54,North America
331,62.8060149,-120.7712723,200,5.5,111.63,North America
332,62.93898733,-95.79236904,75,25.8,487.94,North America
334,62.67065634,-106.8510097,350,11.6,308.72,North America
335,62.28102103,-101.7390966,247,21.1,660.74,North America
337,62.37759821,-103.4905088,294,20.6,163.64,North America
338,62.37944339,-94.52340002,42,12.2,144.02,North America
339,62.40565436,-106.3577902,344,10.1,274.25,North America
340,62.14551757,-95.16798135,41,14.7,523.17,North America
346,62.27283613,-100.42527,254,15.4,525.56,North America
347,62.29769643,-102.3194513,254,8.1,140.78,North America
349,62.16179964,-97.53181237,142,15.9,109.46,North America
359,61.82015066,-108.9279353,312,15.3,865.24,North America
360,61.54287578,-105.5273527,367,12.8,213.74,North America
377,60.93035868,-117.6409526,210,14.7,333.45,North America
381,60.930312,-163.7596041,12,1.2,135.02,North America
383,60.70830997,-104.1946881,347,10.7,579.88,North America
384,60.92131716,-104.4477603,347,9.7,188.61,North America
387,60.5421425,-117.5291722,264,1.0,560.63,North America
392,60.42319101,-104.1769825,345,11.9,144.87,North America
397,60.22597048,-115.5125174,260,0.9,553.24,North America
409,60.00297381,-104.6895308,376,11.8,564.14,North America
410,60.02113526,-106.0065855,430,11.0,533.23,North America
414,59.74097883,-118.8049203,554,10.2,411.04,North America
420,59.60801611,-97.67480541,267,7.7,290.94,North America
423,59.41778844,-73.75339633,134,15.4,487.93,North America
425,59.12632185,-105.5554513,276,25.0,443.84,North America
428,59.1218918,-106.2802502,237,7.0,163.16,North America
430,59.00015566,-155.4143923,189,24.7,131.69,North America
433,58.85856136,-108.3080358,341,5.0,111.07,North America
441,58.61857754,-111.4595033,207,1.8,145.6,North America
452,57.37047028,-74.70086712,180,14.1,774.91,North America
453,57.67473277,-156.7132602,3,23.0,212.15,North America
454,57.49697686,-156.8782146,3,13.4,186.14,North America
462,56.23903474,-99.53230908,256,6.4,693.35,North America
465,56.66235795,-68.20673085,173,27.3,132.84,North America
467,56.61206118,-108.5005133,420,12.8,368.98,North America
471,56.3917296,-100.2115549,258,33.0,419.54,North America
472,56.51375806,-110.4374847,452,6.0,116.45,North America
475,56.46146453,-109.4820318,440,9.2,208.0,North America
479,56.18375874,-96.17429473,166,12.2,280.54,North America
482,56.37633191,-108.0749001,415,15.2,426.86,North America
484,56.04667032,-113.9279253,540,10.6,101.2,North America
485,56.16049539,-68.20549308,273,10.6,128.84,North America
489,55.74618584,-100.475055,271,34.1,491.06,North America
493,55.55584955,-107.7505497,415,19.0,431.88,North America
